Subject-Type	Subject-Type Count	Subject-Type Distinct Count	Property	Object-Type	Object-Type Count	Object-Type tDistinct_count
http://mo-ld.org/resource/mousemine_BioEntity	1067990	127898	mine_voc:\nhasOntologyAnnotation	http://mo-ld.org/resource/mousemine_OntologyAnnotation	1067990	1067990
http://mo-ld.org/resource/mousemine_OntologyTerm	1067990	30161	mine_voc:\nhasOntologyAnnotation	http://mo-ld.org/resource/mousemine_OntologyAnnotation	1067990	1067990
http://mo-ld.org/resource/mousemine_GXDExpression	965068	965068	mine_voc:\nhasPattern	mine_type:\nPattern	965068	14
mold_res:\nmousemine_CellLine	946223	946223	mine_voc:\nhasCellLineType	mine_type:\nCellLineType	946223	2
http://mo-ld.org/resource/mousemine_CellLine	946223	946223	mine_voc:\nhasStrain	http://mo-ld.org/resource/mousemine_Strain	946223	79
http://mo-ld.org/resource/mousemine_CellLine	946223	946223	mine_voc:\nhasStrain	http://mo-ld.org/resource/mousemine_BioEntity	946223	79
http://mo-ld.org/resource/mousemine_CellLine	946005	946005	mine_voc:\nhasCellLineDerivation	mold_res:\nmousemine_CellLineDerivation	946005	611
http://mo-ld.org/resource/mousemine_BioEntity	925332	720425	mine_voc:\nhasCellLine	mold_res:\nmousemine_CellLine	925332	919914
mold_res:\nmousemine_CellLine	923656	919914	mine_voc:\nhasAllele	http://mo-ld.org/resource/mousemine_SequenceCollection	923656	718752
http://mo-ld.org/resource/mousemine_CellLine	923656	919914	mine_voc:\nhasAllele	http://mo-ld.org/resource/mousemine_Allele	923656	718752
http://mo-ld.org/resource/mousemine_CellLine	923656	919914	mine_voc:\nhasAllele	http://mo-ld.org/resource/mousemine_BioEntity	923656	718752
http://mo-ld.org/resource/mousemine_SequenceCollection	923656	718752	mine_voc:\nhasCellLine	http://mo-ld.org/resource/mousemine_CellLine	923656	919914
http://mo-ld.org/resource/mousemine_Allele	923656	718752	mine_voc:\nhasCellLine	http://mo-ld.org/resource/mousemine_CellLine	923656	919914
mold_res:\nmousemine_SequenceCollection	800787	800787	mine_voc:\nhasDataSet	http://mo-ld.org/resource/mousemine_DataSet	800787	2
http://mo-ld.org/resource/mousemine_DataSet	800787	2	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/mousemine_SequenceCollection	800787	800787
http://mo-ld.org/resource/mousemine_SequenceCollection	800787	800787	mine_voc:\nhasOrganism	http://mo-ld.org/resource/mousemine_Organism	800787	1
mold_res:\nmousemine_SequenceCollection	799978	799978	mine_voc:\nhasSymbol	mine_type:\nSymbol	799978	799392
http://mo-ld.org/resource/mousemine_SequenceCollection	799978	799978	mine_voc:\nhasPrimaryIdentifier	http://mo-ld.org/mine_type:PrimaryIdentifier	799978	799978
mold_res:\nmousemine_Allele	799658	799658	mine_voc:\nhasSymbol	http://mo-ld.org/mine_type:Symbol	799658	799385
http://mo-ld.org/resource/mousemine_Allele	799658	799658	mine_voc:\nhasDataSet	http://mo-ld.org/resource/mousemine_DataSet	799658	1
http://mo-ld.org/resource/mousemine_DataSet	799658	1	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/mousemine_Allele	799658	799658
http://mo-ld.org/resource/mousemine_SequenceCollection	799658	799658	mine_voc:\nhasIsRecombinase	mine_type:\nIsRecombinase	799658	2
http://mo-ld.org/resource/mousemine_Allele	799658	799658	mine_voc:\nhasIsRecombinase	http://mo-ld.org/mine_type:IsRecombinase	799658	2
http://mo-ld.org/resource/mousemine_BioEntity	799658	799658	mine_voc:\nhasIsRecombinase	http://mo-ld.org/mine_type:IsRecombinase	799658	2
http://mo-ld.org/resource/mousemine_SequenceCollection	799658	799658	mine_voc:\nhasIsWildType	mine_type:\nIsWildType	799658	2
http://mo-ld.org/resource/mousemine_Allele	799658	799658	mine_voc:\nhasIsWildType	http://mo-ld.org/mine_type:IsWildType	799658	2
http://mo-ld.org/resource/mousemine_BioEntity	799658	799658	mine_voc:\nhasIsWildType	http://mo-ld.org/mine_type:IsWildType	799658	2
http://mo-ld.org/resource/mousemine_Allele	799658	799658	mine_voc:\nhasOrganism	http://mo-ld.org/resource/mousemine_Organism	799658	1
http://mo-ld.org/resource/mousemine_Allele	799658	799658	mine_voc:\nhasPrimaryIdentifier	http://mo-ld.org/mine_type:PrimaryIdentifier	799658	799658
http://mo-ld.org/resource/mousemine_SequenceCollection	799658	799658	mine_voc:\nhasStrain	mold_res:\nmousemine_Strain	799658	1912
http://mo-ld.org/resource/mousemine_Allele	799658	799658	mine_voc:\nhasStrain	http://mo-ld.org/resource/mousemine_Strain	799658	1912
http://mo-ld.org/resource/mousemine_SequenceCollection	799658	799658	mine_voc:\nhasStrain	http://mo-ld.org/resource/mousemine_BioEntity	799658	1912
