Subject-Type	Subject-Type Count	Subject-Type Distinct Count	Property	Object-Type	Object-Type Count	Object-Type tDistinct_count
http://mo-ld.org/resource/humanmine_SequenceFeature	1602324	142390	mine_voc:\nhasExon	http://mo-ld.org/resource/humanmine_SequenceFeature	1602324	1476599
http://mo-ld.org/resource/humanmine_BioEntity	1602324	142390	mine_voc:\nhasExon	mold_res:\nhumanmine_Exon	1602324	1476599
http://mo-ld.org/resource/humanmine_Region	1602324	142390	mine_voc:\nhasExon	http://mo-ld.org/resource/humanmine_Exon	1602324	1476599
http://mo-ld.org/resource/humanmine_SequenceFeature	1602324	142390	mine_voc:\nhasExon	http://mo-ld.org/resource/humanmine_Exon	1602324	1476599
http://mo-ld.org/resource/humanmine_BioEntity	1487773	1482366	mine_voc:\nhasTranscript	http://mo-ld.org/resource/humanmine_BioEntity	1487773	136623
http://mo-ld.org/resource/humanmine_Region	1487773	1482366	mine_voc:\nhasTranscript	http://mo-ld.org/resource/humanmine_BioEntity	1487773	136623
http://mo-ld.org/resource/humanmine_SequenceFeature	1487773	1482366	mine_voc:\nhasTranscript	http://mo-ld.org/resource/humanmine_BioEntity	1487773	136623
http://mo-ld.org/resource/humanmine_BioEntity	1487773	1482366	mine_voc:\nhasTranscript	http://mo-ld.org/resource/humanmine_Region	1487773	136623
http://mo-ld.org/resource/humanmine_Region	1487773	1482366	mine_voc:\nhasTranscript	http://mo-ld.org/resource/humanmine_Region	1487773	136623
http://mo-ld.org/resource/humanmine_SequenceFeature	1487773	1482366	mine_voc:\nhasTranscript	http://mo-ld.org/resource/humanmine_Region	1487773	136623
http://mo-ld.org/resource/humanmine_BioEntity	1487773	1482366	mine_voc:\nhasTranscript	mold_res:\nhumanmine_Transcript	1487773	136623
http://mo-ld.org/resource/humanmine_Region	1487773	1482366	mine_voc:\nhasTranscript	http://mo-ld.org/resource/humanmine_Transcript	1487773	136623
http://mo-ld.org/resource/humanmine_SequenceFeature	1487773	1482366	mine_voc:\nhasTranscript	http://mo-ld.org/resource/humanmine_Transcript	1487773	136623
http://mo-ld.org/resource/humanmine_BioEntity	1487773	1482366	mine_voc:\nhasTranscript	http://mo-ld.org/resource/humanmine_SequenceFeature	1487773	136623
http://mo-ld.org/resource/humanmine_Region	1487773	1482366	mine_voc:\nhasTranscript	http://mo-ld.org/resource/humanmine_SequenceFeature	1487773	136623
http://mo-ld.org/resource/humanmine_SequenceFeature	1487773	1482366	mine_voc:\nhasTranscript	http://mo-ld.org/resource/humanmine_SequenceFeature	1487773	136623
mold_res:\nhumanmine_Exon	1484438	1484438	mine_voc:\nhasDataSet	http://mo-ld.org/resource/humanmine_DataSet	1484438	1
http://mo-ld.org/resource/humanmine_DataSet	1484438	1	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/humanmine_Exon	1484438	1484438
http://mo-ld.org/resource/humanmine_Exon	1484438	1484438	mine_voc:\nhasSOTerm	http://mo-ld.org/resource/humanmine_OntologyTerm	1484438	1
http://mo-ld.org/resource/humanmine_Exon	1484438	1484438	mine_voc:\nhasSOTerm	http://mo-ld.org/resource/humanmine_SOTerm	1484438	1
http://mo-ld.org/resource/humanmine_Exon	1484438	1484438	mine_voc:\nhasOrganism	http://mo-ld.org/resource/humanmine_Organism	1484438	1
http://mo-ld.org/resource/humanmine_Exon	1484438	1484438	mine_voc:\nhasPrimaryIdentifier	http://mo-ld.org/mine_type:PrimaryIdentifier	1484438	1484438
mold_res:\nhumanmine_Exon	1484414	1484414	mine_voc:\nhasLocation	http://mo-ld.org/resource/humanmine_Location	1484414	1484414
http://mo-ld.org/resource/humanmine_Location	1484414	1484414	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/humanmine_Exon	1484414	1484414
http://mo-ld.org/resource/humanmine_Exon	1484414	1484414	mine_voc:\nhasSequence	http://mo-ld.org/resource/humanmine_Sequence	1484414	1484414
http://mo-ld.org/resource/humanmine_Exon	1484414	1484414	mine_voc:\nhasLength	http://mo-ld.org/mine_type:Length	1484414	6276
http://mo-ld.org/resource/humanmine_Exon	1484414	1484414	mine_voc:\nhasChromosome	http://mo-ld.org/resource/humanmine_BioEntity	1484414	24
http://mo-ld.org/resource/humanmine_Exon	1484414	1484414	mine_voc:\nhasChromosome	http://mo-ld.org/resource/humanmine_Chromosome	1484414	24
http://mo-ld.org/resource/humanmine_Exon	1484414	1484414	mine_voc:\nhasChromosome	http://mo-ld.org/resource/humanmine_Region	1484414	24
http://mo-ld.org/resource/humanmine_Exon	1484414	1484414	mine_voc:\nhasChromosome	http://mo-ld.org/resource/humanmine_SequenceFeature	1484414	24
http://mo-ld.org/resource/humanmine_Exon	1476599	1476599	mine_voc:\nhasTranscript	http://mo-ld.org/resource/humanmine_BioEntity	1476599	136623
http://mo-ld.org/resource/humanmine_Exon	1476599	1476599	mine_voc:\nhasTranscript	http://mo-ld.org/resource/humanmine_Region	1476599	136623
http://mo-ld.org/resource/humanmine_Exon	1476599	1476599	mine_voc:\nhasTranscript	http://mo-ld.org/resource/humanmine_Transcript	1476599	136623
http://mo-ld.org/resource/humanmine_Exon	1476599	1476599	mine_voc:\nhasTranscript	http://mo-ld.org/resource/humanmine_SequenceFeature	1476599	136623
http://mo-ld.org/resource/humanmine_Transcript	1476599	136623	mine_voc:\nhasExon	http://mo-ld.org/resource/humanmine_BioEntity	1476599	1476599
http://mo-ld.org/resource/humanmine_Transcript	1476599	136623	mine_voc:\nhasExon	http://mo-ld.org/resource/humanmine_Region	1476599	1476599
