Subject-Type	Subject-Type Count	Subject-Type Distinct Count	Property	Object-Type	Object-Type Count	Object-Type tDistinct_count
http://mo-ld.org/resource/flymine_GOAnnotation	1564	1564	mine_voc:\nhasQualifier	mine_type:\nQualifier	1564	3
http://mo-ld.org/resource/flymine_OntologyAnnotation	1564	1564	mine_voc:\nhasQualifier	http://mo-ld.org/mine_type:Qualifier	1564	3
mold_res:\nflymine_MiRNA	1344	1344	mine_voc:\nhasLocation	http://mo-ld.org/resource/flymine_Location	1344	1344
http://mo-ld.org/resource/flymine_Location	1344	1344	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/flymine_MiRNA	1344	1344
http://mo-ld.org/resource/flymine_MiRNA	1344	1344	mine_voc:\nhasChromosome	http://mo-ld.org/resource/flymine_BioEntity	1344	139
http://mo-ld.org/resource/flymine_MiRNA	1344	1344	mine_voc:\nhasChromosome	http://mo-ld.org/resource/flymine_SequenceFeature	1344	139
http://mo-ld.org/resource/flymine_MiRNA	1344	1344	mine_voc:\nhasChromosome	http://mo-ld.org/resource/flymine_Chromosome	1344	139
http://mo-ld.org/resource/flymine_RRNA	1334	1315	mine_voc:\nhasDataSet	http://mo-ld.org/resource/flymine_DataSet	1334	14
http://mo-ld.org/resource/flymine_DataSet	1334	14	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/flymine_RRNA	1334	1315
http://mo-ld.org/resource/flymine_Exon	1315	1315	mine_voc:\nhasTranscript	http://mo-ld.org/resource/flymine_RRNA	1315	1315
http://mo-ld.org/resource/flymine_RRNA	1315	1315	mine_voc:\nhasExon	http://mo-ld.org/resource/flymine_BioEntity	1315	1315
http://mo-ld.org/resource/flymine_RRNA	1315	1315	mine_voc:\nhasExon	http://mo-ld.org/resource/flymine_Exon	1315	1315
http://mo-ld.org/resource/flymine_RRNA	1315	1315	mine_voc:\nhasExon	http://mo-ld.org/resource/flymine_SequenceFeature	1315	1315
http://mo-ld.org/resource/flymine_RRNA	1315	1315	mine_voc:\nhasSequence	http://mo-ld.org/resource/flymine_Sequence	1315	1315
http://mo-ld.org/resource/flymine_RRNA	1315	1315	mine_voc:\nhasLength	http://mo-ld.org/mine_type:Length	1315	132
http://mo-ld.org/resource/flymine_RRNA	1315	1315	mine_voc:\nhasSOTerm	http://mo-ld.org/resource/flymine_OntologyTerm	1315	1
http://mo-ld.org/resource/flymine_RRNA	1315	1315	mine_voc:\nhasSOTerm	http://mo-ld.org/resource/flymine_SOTerm	1315	1
http://mo-ld.org/resource/flymine_RRNA	1315	1315	mine_voc:\nhasOrganism	http://mo-ld.org/resource/flymine_Organism	1315	12
http://mo-ld.org/resource/flymine_RRNA	1315	1315	mine_voc:\nhasPrimaryIdentifier	http://mo-ld.org/mine_type:PrimaryIdentifier	1315	1315
http://mo-ld.org/resource/flymine_RRNA	1315	1315	mine_voc:\nhasSecondaryIdentifier	http://mo-ld.org/mine_type:SecondaryIdentifier	1315	1315
http://mo-ld.org/resource/flymine_Gene	1243	1243	mine_voc:\nhasTranscript	http://mo-ld.org/resource/flymine_RRNA	1243	1243
http://mo-ld.org/resource/flymine_RRNA	1243	1243	mine_voc:\nhasGene	http://mo-ld.org/resource/flymine_BioEntity	1243	1243
http://mo-ld.org/resource/flymine_RRNA	1243	1243	mine_voc:\nhasGene	http://mo-ld.org/resource/flymine_SequenceFeature	1243	1243
http://mo-ld.org/resource/flymine_RRNA	1243	1243	mine_voc:\nhasGene	http://mo-ld.org/resource/flymine_Gene	1243	1243
http://mo-ld.org/resource/flymine_ProbeSet	1219	911	mine_voc:\nhasTranscript	http://mo-ld.org/resource/flymine_NcRNA	1219	724
http://mo-ld.org/resource/flymine_NcRNA	1219	724	mine_voc:\nhasProbeSet	http://mo-ld.org/resource/flymine_BioEntity	1219	911
http://mo-ld.org/resource/flymine_NcRNA	1219	724	mine_voc:\nhasProbeSet	http://mo-ld.org/resource/flymine_ProbeSet	1219	911
http://mo-ld.org/resource/flymine_NcRNA	1219	724	mine_voc:\nhasProbeSet	http://mo-ld.org/resource/flymine_SequenceFeature	1219	911
http://mo-ld.org/resource/flymine_InteractionTerm	1213	1213	mine_voc:\nhasIdentifier	http://mo-ld.org/mine_type:Identifier	1213	1213
mold_res:\nflymine_InteractionTerm	1204	1204	mine_voc:\nhasObsolete	http://mo-ld.org/mine_type:Obsolete	1204	1
http://mo-ld.org/resource/flymine_InteractionTerm	1204	1204	mine_voc:\nhasOntology	http://mo-ld.org/resource/flymine_Ontology	1204	1
mold_res:\nflymine_RRNA	1192	1192	mine_voc:\nhasLocation	http://mo-ld.org/resource/flymine_Location	1192	1192
http://mo-ld.org/resource/flymine_Location	1192	1192	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/flymine_RRNA	1192	1192
http://mo-ld.org/resource/flymine_RRNA	1192	1192	mine_voc:\nhasChromosome	http://mo-ld.org/resource/flymine_BioEntity	1192	709
http://mo-ld.org/resource/flymine_RRNA	1192	1192	mine_voc:\nhasChromosome	http://mo-ld.org/resource/flymine_SequenceFeature	1192	709
http://mo-ld.org/resource/flymine_RRNA	1192	1192	mine_voc:\nhasChromosome	http://mo-ld.org/resource/flymine_Chromosome	1192	709
http://mo-ld.org/resource/flymine_InteractionTerm	1137	1137	mine_voc:\nhasDescription	http://mo-ld.org/mine_type:Description	1137	1114
mold_res:\nflymine_InteractionTerm	1073	726	mine_voc:\nhasOntologyTermSynonym	http://mo-ld.org/resource/flymine_OntologyTermSynonym	1073	1039
mold_res:\nflymine_SampleCharacteristic	1072	1072	mine_voc:\nhasType	http://mo-ld.org/mine_type:Type	1072	9
http://mo-ld.org/resource/flymine_SampleCharacteristic	1072	1072	mine_voc:\nhasValue	http://mo-ld.org/mine_type:Value	1072	110
http://mo-ld.org/resource/flymine_Sample	1072	159	mine_voc:\nhasSampleCharacteristic	http://mo-ld.org/resource/flymine_SampleCharacteristic	1072	1072
http://mo-ld.org/resource/flymine_BioEntity	1072	159	mine_voc:\nhasSampleCharacteristic	http://mo-ld.org/resource/flymine_SampleCharacteristic	1072	1072
http://mo-ld.org/resource/flymine_InteractionExperiment	975	740	mine_voc:\nhasComment	http://mo-ld.org/resource/flymine_Comment	975	975
http://mo-ld.org/resource/flymine_AnatomyTerm	797	797	mine_voc:\nhasDataSet	http://mo-ld.org/resource/flymine_DataSet	797	1
mold_res:\nflymine_Treatment	795	795	mine_voc:\nhasAction	mine_type:\nAction	795	5
http://mo-ld.org/resource/flymine_TreatmentParameter	795	795	mine_voc:\nhasValue	http://mo-ld.org/mine_type:Value	795	5
http://mo-ld.org/resource/flymine_CVTerm	753	753	mine_voc:\nhasIdentifier	http://mo-ld.org/mine_type:Identifier	753	753
mold_res:\nflymine_CVTerm	752	752	mine_voc:\nhasObsolete	http://mo-ld.org/mine_type:Obsolete	752	1
http://mo-ld.org/resource/flymine_CVTerm	752	752	mine_voc:\nhasOntology	http://mo-ld.org/resource/flymine_Ontology	752	1
http://mo-ld.org/resource/flymine_BioEntity	747	747	mine_voc:\nhasTranscript	mold_res:\nflymine_SnRNA	747	389
http://mo-ld.org/resource/flymine_SequenceFeature	747	747	mine_voc:\nhasTranscript	http://mo-ld.org/resource/flymine_SnRNA	747	389
http://mo-ld.org/resource/flymine_Treatment	637	636	mine_voc:\nhasProtocol	mold_res:\nflymine_Protocol	637	11
http://mo-ld.org/resource/flymine_CVTerm	605	605	mine_voc:\nhasDescription	http://mo-ld.org/mine_type:Description	605	602
mold_res:\nflymine_NaturalTransposableElement	548	548	mine_voc:\nhasSymbol	http://mo-ld.org/mine_type:Symbol	548	548
http://mo-ld.org/resource/flymine_NaturalTransposableElement	548	548	mine_voc:\nhasDataSet	http://mo-ld.org/resource/flymine_DataSet	548	12
http://mo-ld.org/resource/flymine_DataSet	548	12	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/flymine_NaturalTransposableElement	548	548
http://mo-ld.org/resource/flymine_NaturalTransposableElement	548	548	mine_voc:\nhasSOTerm	http://mo-ld.org/resource/flymine_OntologyTerm	548	1
http://mo-ld.org/resource/flymine_NaturalTransposableElement	548	548	mine_voc:\nhasSOTerm	http://mo-ld.org/resource/flymine_SOTerm	548	1
http://mo-ld.org/resource/flymine_NaturalTransposableElement	548	548	mine_voc:\nhasOrganism	http://mo-ld.org/resource/flymine_Organism	548	12
http://mo-ld.org/resource/flymine_NaturalTransposableElement	548	548	mine_voc:\nhasPrimaryIdentifier	http://mo-ld.org/mine_type:PrimaryIdentifier	548	548
http://mo-ld.org/resource/flymine_NaturalTransposableElement	548	548	mine_voc:\nhasSecondaryIdentifier	http://mo-ld.org/mine_type:SecondaryIdentifier	548	548
http://mo-ld.org/resource/flymine_BioEntity	477	159	mine_voc:\nhasTreatment	http://mo-ld.org/resource/flymine_Treatment	477	477
http://mo-ld.org/resource/flymine_Sample	477	159	mine_voc:\nhasTreatment	http://mo-ld.org/resource/flymine_Treatment	477	477
mold_res:\nflymine_MRNAExpressionTerm	427	423	mine_voc:\nhasDataSet	http://mo-ld.org/resource/flymine_DataSet	427	2
http://mo-ld.org/resource/flymine_MRNAExpressionTerm	423	423	mine_voc:\nhasOntology	http://mo-ld.org/resource/flymine_Ontology	423	1
http://mo-ld.org/resource/flymine_Publication	403	38	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/flymine_ChromosomeBand	403	388
http://mo-ld.org/resource/flymine_ChromosomeBand	403	388	mine_voc:\nhasPublication	http://mo-ld.org/resource/flymine_Publication	403	38
mold_res:\nflymine_CVTerm	395	240	mine_voc:\nhasOntologyTermSynonym	http://mo-ld.org/resource/flymine_OntologyTermSynonym	395	394
http://mo-ld.org/resource/flymine_SnRNA	390	389	mine_voc:\nhasDataSet	http://mo-ld.org/resource/flymine_DataSet	390	13
http://mo-ld.org/resource/flymine_DataSet	390	13	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/flymine_SnRNA	390	389
http://mo-ld.org/resource/flymine_Exon	389	389	mine_voc:\nhasTranscript	http://mo-ld.org/resource/flymine_SnRNA	389	389
http://mo-ld.org/resource/flymine_SnRNA	389	389	mine_voc:\nhasExon	http://mo-ld.org/resource/flymine_BioEntity	389	389
http://mo-ld.org/resource/flymine_SnRNA	389	389	mine_voc:\nhasExon	http://mo-ld.org/resource/flymine_Exon	389	389
http://mo-ld.org/resource/flymine_SnRNA	389	389	mine_voc:\nhasExon	http://mo-ld.org/resource/flymine_SequenceFeature	389	389
http://mo-ld.org/resource/flymine_SnRNA	389	389	mine_voc:\nhasSequence	http://mo-ld.org/resource/flymine_Sequence	389	389
http://mo-ld.org/resource/flymine_SnRNA	389	389	mine_voc:\nhasLength	http://mo-ld.org/mine_type:Length	389	65
http://mo-ld.org/resource/flymine_SnRNA	389	389	mine_voc:\nhasSOTerm	http://mo-ld.org/resource/flymine_OntologyTerm	389	1
http://mo-ld.org/resource/flymine_SnRNA	389	389	mine_voc:\nhasSOTerm	http://mo-ld.org/resource/flymine_SOTerm	389	1
http://mo-ld.org/resource/flymine_SnRNA	389	389	mine_voc:\nhasOrganism	http://mo-ld.org/resource/flymine_Organism	389	12
http://mo-ld.org/resource/flymine_SnRNA	389	389	mine_voc:\nhasPrimaryIdentifier	http://mo-ld.org/mine_type:PrimaryIdentifier	389	389
http://mo-ld.org/resource/flymine_SnRNA	389	389	mine_voc:\nhasSecondaryIdentifier	http://mo-ld.org/mine_type:SecondaryIdentifier	389	389
http://mo-ld.org/resource/flymine_Gene	357	357	mine_voc:\nhasTranscript	http://mo-ld.org/resource/flymine_SnRNA	357	357
http://mo-ld.org/resource/flymine_SnRNA	357	357	mine_voc:\nhasGene	http://mo-ld.org/resource/flymine_BioEntity	357	357
http://mo-ld.org/resource/flymine_SnRNA	357	357	mine_voc:\nhasGene	http://mo-ld.org/resource/flymine_SequenceFeature	357	357
http://mo-ld.org/resource/flymine_SnRNA	357	357	mine_voc:\nhasGene	http://mo-ld.org/resource/flymine_Gene	357	357
mold_res:\nflymine_SnRNA	356	356	mine_voc:\nhasLocation	http://mo-ld.org/resource/flymine_Location	356	356
http://mo-ld.org/resource/flymine_Location	356	356	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/flymine_SnRNA	356	356
http://mo-ld.org/resource/flymine_SnRNA	356	356	mine_voc:\nhasChromosome	http://mo-ld.org/resource/flymine_BioEntity	356	80
http://mo-ld.org/resource/flymine_SnRNA	356	356	mine_voc:\nhasChromosome	http://mo-ld.org/resource/flymine_SequenceFeature	356	80
http://mo-ld.org/resource/flymine_SnRNA	356	356	mine_voc:\nhasChromosome	http://mo-ld.org/resource/flymine_Chromosome	356	80
mold_res:\nflymine_MicroArrayAssay	317	159	mine_voc:\nhasSample	http://mo-ld.org/resource/flymine_BioEntity	317	159
http://mo-ld.org/resource/flymine_MicroArrayAssay	317	159	mine_voc:\nhasSample	http://mo-ld.org/resource/flymine_Sample	317	159
http://mo-ld.org/resource/flymine_BioEntity	317	159	mine_voc:\nhasMicroArrayAssay	http://mo-ld.org/resource/flymine_MicroArrayAssay	317	159
http://mo-ld.org/resource/flymine_Sample	317	159	mine_voc:\nhasMicroArrayAssay	http://mo-ld.org/resource/flymine_MicroArrayAssay	317	159
mold_res:\nflymine_InteractionTerm	251	239	mine_voc:\nhasDataSet	http://mo-ld.org/resource/flymine_DataSet	251	2
mold_res:\nflymine_DevelopmentTerm	201	201	mine_voc:\nhasObsolete	http://mo-ld.org/mine_type:Obsolete	201	1
http://mo-ld.org/resource/flymine_DevelopmentTerm	201	201	mine_voc:\nhasIdentifier	http://mo-ld.org/mine_type:Identifier	201	201
http://mo-ld.org/resource/flymine_DevelopmentTerm	201	201	mine_voc:\nhasOntology	http://mo-ld.org/resource/flymine_Ontology	201	1
http://mo-ld.org/resource/flymine_RNAiScreen	200	200	mine_voc:\nhasAssay	mine_type:\nAssay	200	142
http://mo-ld.org/resource/flymine_RNAiScreen	200	200	mine_voc:\nhasBioSourceName	mine_type:\nBioSourceName	200	69
